artist,debut_date,debut_track,mbid,verified
Da-iCE,2014-04-09,TOKI,2fc5c58a-711b-4a11-9b7a-7b5ba1f58e04,false
Davis Redfield,2013-01-04,A World Apart,45f8c944-d646-4332-9c4e-d10b6e216a0d,false
Def Tech,2003-01-22,VIBRATION,3cea4be5-d1da-4431-b5df-cd0745c21047,false
Desorden Público,2015-02-09,Todo esta muy Normal,330966e4-cac3-4e19-927e-0fcb14225547,false
Dragon Ash,1997-02-21,The Day dragged on,cdc00f5c-5e99-4b64-98f3-5eabda3636cf,false
E-girls,2011-12-28,Celebration!,65784683-d180-44da-b385-050acf8ec4bb,false
ECHOES,2000-07-19,ZOO,34ff39d3-192b-4111-968c-d9578c19fb37,false
EE JUMP,2000-10-18,LOVE IS ENERGY!,edad725e-edc3-4f65-bca6-bf0cd139ad2f,false
EGO-WRAPPIN',1999-02-10,His Choice of Shoes Is Ill!,ae336f33-70ea-4dc3-839d-4e94bc64951c,false
ELLEGARDEN,2001-05-23,ELLEGARDEN,923158cf-9d21-4bce-8040-41e7a497c1c9,false
ENDLICHERI☆ENDLICHERI,2006-02-01,ソメイヨシノ,d2fe8b4f-0eee-4891-8c35-35a3f2d59e71,false
ENHYPEN,2020-11-30,BORDER : DAY ONE,95663592-1447-4579-90f7-c94733476667,false
EPO,1980-03-21,DOWN TOWN,b74a8d87-18d1-4c1a-929d-ca8bfae5bd9d,false
ET-KING,2004-01-01,ET-KING,05ec35ab-685f-488e-9751-558a5f2482f7,false
EVERY LITTLE THING,1997-04-09,everlasting,acf20c38-8a14-4406-9039-fe78d26c2e4e,false
EXILE,2001-09-27,Your eyes only -曖昧なぼくの輪郭-,d9403f69-2718-483e-a21a-210ae1714b82,false
EXILE B HAPPY,2024-05-05,MORNING SUN,6a17d435-dd54-4c96-9aa4-9fa2d3a28c7b,false
Encore,2024-09-05,ENCORE –Part 1–,e13d59ba-c73b-4b96-922d-f201d41b7364,false
Every Little Thing,1997-04-09,everlasting,acf20c38-8a14-4406-9039-fe78d26c2e4e,false
FIELD OF VIEW,1995-07-24,突然,7a0fb9d4-1e6e-4975-9c8c-36e1a890dbeb,false
FLIPPER'S GUITAR,1992-09-26,Singles,9f06d736-81b9-4cc5-b101-caed4e1ef9b8,false
FUMI★YEAH!,2014-04-30,BEST HITS57,aa85f6a0-5a54-4550-a2b7-cb5c6b65b62b,false
FUNK THE PEANUTS,1995-07-24,恋の罠しかけましょ～FUNK THE PEANUTSのテーマ～,df1d8326-3c82-48ff-bbbb-4b2bbb1c6bd1,false
FUNKY MONKEY BΛBY'S,2006-01-25,そのまんま東へ,40d74e11-3d9f-4b5c-ac88-b11487035b55,false
Fayray,1998-07-29,太陽のグラヴィティー,c77e4a15-9776-4a4a-9124-a1afe3796c74,false
FictionJunction,2009-04-29,Parallel Hearts,741a8da6-9b87-4b49-acda-6cc6d9f579ac,false
FictionJunction YUUKA,2004-05-08,瞳の欠片,3b19d629-6d4a-4426-974b-aeb1dbbf0782,false
Fogbow,2017-03-02,Bitter Setback,85d59652-b720-4f4d-8cac-c50f430ec3ac,false
Full Throttle4,2023-11-25,ONE NIGHT,12c4fd3f-273d-49b5-a761-2ca646d1c645,false
GACKT,2000-04-26,MARS,e7a8e086-16df-44a7-91e4-640986bcff72,false
GANMI,2022-06-01,シックマン,34adb22f-ec51-4008-bfee-c4ab58c6bfc4,false
GAO,1992-04-21,サヨナラ,e420e26e-20ec-43b1-9840-aacf1d46b4a4,false
GEISHA GIRLS,1994-08-19,Geisha “Remix” Girls,16f76c04-3638-4988-8460-209e38bb2cbd,false
GLAY×EXILE,2005-07-20,SCREAM,70dc28e6-c597-49d4-90c7-e6b75509849e,false
GROWN KIDS,2014-07-16,Bottle Rocket,3c30e84b-047a-4cdb-beeb-df7850f5aa8c,false
GRe4N BOYZ,2007-01-24,道,9c492c6c-ef67-48e7-b347-a410993b3274,false
Ganesha,2013-08-28,caste system,e8a6e7d3-5da9-4b25-9507-c6fe29825415,false
Gliiico,2024-09-27,Tragedy,0429a941-9f0c-4544-a400-82a7c48eb933,false
Gold 1,2012-10-19,This Is My Love,e0684bc8-713f-4798-8a4f-e47043a14d7d,false
H!dE,2016-02-14,KITTO,11c4f767-f740-4e24-b3d8-c8820fef7497,false
HAN-KUN,2012-05-09,ＰＯＳＳＩＢＬＥ／ＲＩＤＥ ＯＮ ＮＯＷ,05deba3f-cdbe-4132-90d9-58ea2ba10f3e,false
HANA,2021-10-31,Snow Drops,36666d26-2a88-4b23-aa6e-9e0b65d899aa,false
HERO,2008-05-28,優しい言葉,73a87bf9-d364-4cf4-9f21-f51382d7eb08,false
HIROBA,2023-01-09,ふたたび,abebc4f9-7c8d-4c82-a8b8-640338685a1b,false
HOME MADE 家族,2001-11-21,H.M.K.U.,3b390d43-1c2d-4198-b0a0-86a670a90819,false
HY,2007-03-07,AM11:00 (English Version),7b049fe5-0af8-4c19-bceb-41b5df99d39d,false
Hak,2022-12-05,My Way,9a7338bc-1224-4513-8ac8-f71a79a8c3a4,false
Hey! Say! 7,2007-08-01,Hey! Say!,3349d590-a8b7-42c3-b270-68692b4e95d9,false
Hey! Say! JUMP,2007-11-14,Ultra Music Power,d024da79-b980-40bb-af2d-d2d56b95b3f3,false
Hiro,1989-11-28,Turbo OutRun,fc32f53d-8768-404d-91a8-6beb3adb2de4,false
HoYoFair,2023-04-14,Oh Traveller Come,820b2d48-54c1-4456-be08-9c17a2a9102e,false
HoneyWorks,2011-11-19,初恋ノート,1dc670f7-1a43-4a71-973a-2ad181f4edd4,false
Hylen,2016-09-15,Suiren EP,010d8f07-ef66-46da-80aa-10624dde55bf,false
I WiSH,2003-02-21,明日への扉,b9523552-8d2c-44c0-9e38-2d7920b8e380,false
ICE BOX,1994-07-06,The Very Best Of ICE BOX,8d710947-a4d0-4250-aec7-9a45dbc775f6,false
IVE,2021-12-01,ELEVEN,b2f2216a-d7a9-4ce0-8b8f-f494d9a8c196,false
Ishawna,2017-11-17,Dancehall Tide Riddim,33cb1056-d35c-4f18-ab61-51602b2d2348,false
JAKE,2015-11-22,キチガイテープ夏,f12d723a-0cce-4b5f-8512-143fbba39022,false
JAYWALK,1991-07-21,何も言えなくて…夏,dad312ad-d2de-49eb-8674-61edee5cd7b6,false
JAZEE MINOR,2014-11-19,100 (Remix),d0fae448-b6de-419b-9762-49e1bbf31905,false
JEONGHAN,2024-06-17,THIS MAN,c7f65565-35c5-4c56-9649-a0f7f9bd05c8,false
JO1,2020-03-04,PROTOSTAR,331a87af-4abd-494e-9254-c1d66b3260e2,false
JP THE WAVY,2019-01-25,Just A Lil Bit,b1094a7f-be62-4a6a-b9f4-267682aaeea3,false
JUDY AND MARY,1992-04-01,BE AMBITIOUS,63b6dd9a-916d-4076-b898-43763aac6bce,true
JULEPS,2007-10-31,旅立つ日〜完全版,1c2c24ef-1279-43c4-86c5-5dcb3364b797,false
JUNG KOOK,2016-05-31,알아요,23c8056b-ee13-4cfc-a772-2f5292e35bb5,false
Jamie Drastik,2012-04-16,White Boy Wasted,7c25b020-5e56-49ed-97b8-67c4abea341f,false
Jamie xx,2010-11-29,NY Is Killing Me,d1515727-4a93-4c0d-88cb-d7a9fce01879,false
Janne Da Arc,1997-07-21,Resist,e6a1e19c-1a24-476f-af69-6308cd33cddf,false
JiLL-Decoy association,2006-06-12,like ameba,df31469b-c34b-4958-b716-094fa1a2eb6c,false
Joddski,2010-02-15,Krig & Kjærlighet,18b9c0fb-7ad1-4746-8273-e1dd36cf4624,false
John Newman,2012-05-14,Feel the Love,589ef702-7f3a-4a1c-8f2c-4727005cfc0e,false
John Riesen,2021-06-18,Broken Vow,e664b077-69b0-47b0-9330-479693cc0458,false
Joint Beauty,2024-06-12,東京Friday Night,cb122f5a-3d5b-4573-badf-58bc2a862812,false
Junoflo,2016-06-15,Fables,01bacf22-b72a-448d-84c4-818e131692e6,false
K,2007-10-29,Brilliant Skies,e510ca2c-0f26-4b02-9050-d4a07fd3e46c,false
KAN,1987-04-25,テレビの中に,a644724e-db4f-4885-a6b3-c86b52d2e7da,false
KAT-TUN,2006-03-22,Real Face,d52fa20a-b8ab-464b-aa6c-fb2c6ada8cb8,false
KEN THE 390,2009-03-11,届けたい…,2dd8c6d1-c594-4818-bb64-ceab68a53bf2,false
KERENMI,2021-07-14,Micro Summer (KERENMI remix),2000ac77-5baa-4d6c-a5f7-2332ae668d45,false
KICK THE CAN CREW,1997-08-21,タカオニ,632dcd7f-2797-4f9f-a3f3-2837a36e2871,false
KIRARA,2015-03-18,cts3,fb04aa85-29ec-499f-9326-5e49da57f5ec,false
KIX・S,1992-07-21,また逢える,bd7a4ddc-fcf4-4cb0-9569-701d2fc86360,false
KIYOSHI,2020-10-31,Dance Darling Dance,ec2a9f40-9769-4261-8b97-bc3a48609e9e,false
Kalipzo,2020-05-15,Brace Yourself,24001f1c-8540-4f18-89a4-788aa9b5e763,false
Kaoru Amane,2006-08-30,タイヨウのうた,a07f1c17-afd6-45be-986c-9e977345e629,false
Kate,2010-07-10,Fate/EXTRA Original Soundtrack,e525a2d9-d63f-4368-9dc1-b63264168344,false
Katsumi,1991-06-25,It’s my JAL,87ffc2a9-8a9d-46e4-b83f-c30a43b81e05,false
King Gnu,2018-07-13,Flash!!!,338f5d97-3133-4bf8-a58e-068ff9b5405d,false
Kiroro,1998-01-21,長い間,dc9f09d4-a1a7-498d-afd2-4b5054e79fc2,false
Kiyoki,2024-07-05,Only U,9f5c9bba-32b2-497d-a7c7-5503582a6956,false
L-VOKAL,2008-01-30,万歳,74c900a3-6396-4e89-9987-5a714cd0617c,false
LANA,2020-05-13,IM NOT HER,9ac6b30d-472b-4744-afe0-aa7e7e6b2729,false
LA’CRYMA CHRISTI,1994-10-07,Siam's Eye,d7d1746d-2085-4370-bd87-a8fd4c9ace4d,false
LE SSERAFIM,2022-05-02,FEARLESS,1ee37742-1e3d-4e61-84d2-bc85f4c1459a,false
LOM,2025-02-03,Good Bye,50fb0cbc-dce3-41fa-93a0-caab61e4a376,false
LUNA SEA,1991-04-21,LUNA SEA,e7ab70fc-ae7b-4321-a9d1-4c2e9440e0f5,false
LUX,2014-07-23,Electro Pop Wave,7cdd2368-a952-4ffb-bc35-2a0a5deb2e37,false
LadBaby,2018-12-14,We Built This City,5051cf88-9e17-41e9-a923-44ea9c2116b8,false
Lauv,2015-03-31,The Other,c0ef2ba5-a7b7-40ea-bd27-30acccfcac11,false
Le Couple,1997-05-16,ひだまりの詩,296874d9-5765-4452-8522-296498f19e4b,false
Linmu,2020-09-21,お洒落番長,194c2a9e-85a2-4da5-8be3-5512e0b10ddf,false
Lisa Aberer,2013-03-22,I Will Dance,1571663f-96d2-4920-8eeb-c3c1f2274a00,false
Little Kiss,1997-02-14,A.S.A.P.,788384c4-afe6-4f32-bbd2-8916c83cc992,false
Loud Luxury,2015-01-22,Sweet N' Low,4c445344-9df2-407e-9bf3-8a5c0b86777e,false
L⇔R,1997-02-19,アイネ・クライネ・ナハト・ミュージック,6210ebbf-3c83-443e-ba6a-d8a97e34bbc4,false
M!LK,2015-03-25,コーヒーが飲めません,c209e6c9-bdc6-41b1-8044-6ccbd5896252,false
M.Iam.I,2015-09-18,Avalanche (Rescue Me From the Dancefloor),b859f74c-d075-4300-ad67-51343589788f,false
MAISONdes,2021-02-03,Hello/Hello,5005beb6-9da2-48ba-bfd9-aa8ddc6d0117,false
MAKE-UP,1984-10-21,Fox On The Run,785113ad-c6aa-4a89-a485-9534f2ac3726,false
MAN WITH A MISSION,2011-04-06,NEVER FXXKIN' MIND THE RULES,d1c5a553-1fd0-43ca-a66a-da94c9f15570,false
MARIA,2007-04-25,夢、ひとひら / スマイル,827608e4-0ff7-4bfb-bf05-ed4bd134b2e2,false
MAX,1995-05-10,恋するヴェルファーレダンス 〜Saturday Night〜,2281c623-f9fe-4df4-b549-5cc8c39654fc,false
ME:I,2024-03-24,Click,90b73828-7655-49b8-85bd-eaac26f20a0c,false
MINMI,2002-08-21,The Perfect Vision,0a2d8d95-9cb1-48da-927c-613b4e12ae72,false
MISAMO,2023-01-25,Bouquet,e148e786-f078-49e2-a9fb-fd044bd68905,false
MISIA,1998-06-24,Mother Father Brother Sister,c15576a7-48dd-4916-a3b7-e31c9824f36c,false
MONGOL800,2003-12-06,ヨロコビノウタ,0f774f0e-052e-48ae-8237-79359b9fd259,false
MONKEY MAJIK,2005-02-09,Lily,7c39d914-43f8-4136-895a-1cc649568758,false
MaRI,2023-03-09,Forbidden Red,3d060a74-ea36-4c66-8cc2-61283850c4a3,false
Mi,2005-02-02,未来の地図,769a7979-f95b-4374-96ae-908f2c5a1113,false
Moodoïd,2013-09-09,Moodoïd EP,fa5fb26b-ca64-41de-b3fc-9bd01a8242ad,false
Moonchild,2023-03-06,CHILI CHOCOLATE / ONE BITE / Lonely,80573b06-a069-44c9-b6fa-34a99749ff4a,false
Mr.Children,1992-05-10,Everything,27f0af0e-4d1f-4808-a58b-090e400dcc43,false
Mrs. GREEN APPLE,2014-07-05,Introduction,9ce674b7-5180-41f7-9ac2-95dc0d8a0ed2,false
My Little Lover,1995-05-01,Man & Woman / My Painting,24b34636-8444-4ccc-bd0b-f817bb04ce4c,false
N-Trigue,2014-11-28,Neverland,b864a088-6ec4-4e46-aff1-d71121970dfd,false
NCT,2023-10-08,Hands Up,fb175979-152f-4f32-bf8b-08aa86c24fe3,false
NCT DREAM,2016-08-27,Chewing Gum,dc7c8277-d4b6-4bca-bdfe-50eee42536ac,false
NEWS,2003-11-07,NEWSニッポン,53187856-5b14-4b58-9c81-c5ea843b6c7a,false
NIGHTMARE,2002-11-22,アウトロー,61ac244d-3201-4c43-a234-f99d7166400e,false
NO NAME,2012-08-01,希望について,5a4c4813-b5ee-47ba-beb5-c480333fb8e4,false
NOKKO,1994-03-09,人魚,71e1c9e2-b6e1-4aed-a4f8-b8f02ce631c7,false
NORIKIYO,2020-04-11,それじゃ無理,39ba311d-6668-49cc-a0c1-b73fc73c5ada,false
Nao'ymt,2006-02-01,Goodbye,78f08704-b413-4ad3-963b-2b748b6da2ba,false
Naz Tokio,2015-02-27,Save Me,fc556a00-763d-487b-8492-9dce4f507eaa,false
Night Tempo,2019-04-24,Wink - Night Tempo presents ザ・昭和グルーヴ,1c75533c-4ced-4a3c-a6eb-20774665c2c0,false
NiziU,2020-06-30,Make you happy,7e7df33f-85fb-49d5-9de7-efb086b2dc1d,false
No Bully Movement,2024-05-05,No Bully,0bf356d4-ec59-4176-ac48-679d158d973a,false
Noa,2020-01-10,LIGHTS UP,e6fa111a-7ae0-489f-b4d2-4a1bdd7f06a3,false
Novelbright,2020-08-17,Sunny drop,f1d9bc16-a8a2-4733-9b9d-2e101e010ea0,false
Nulbarich,2019-09-17,Lost Game,e015c3d2-d67e-4b48-abab-595dc3856dea,false
ONE OK ROCK,2006-07-26,ONE OK ROCK,6ef00829-fa94-4fee-a5a6-b28e1208e96a,false
ORANGE RANGE,2002-08-25,ミチシルベ/ミッドナイトゲージ,fee8e811-a2dc-4c09-8484-3c2aca38c3f9,false
OZROSAURUS,1998-05-27,DOUBLE IMPACT E.P. II,16684559-9fb8-4b55-b928-18a107d01dc0,false
Official髭男dism,2015-02-11,恋の最chu!/ 不器用な二人で,6dddd7a2-5583-49d0-a8b2-9ee46d04f27e,false
Olly Murs,2010-08-27,Please Don’t Let Me Go,0b108024-ccb5-468f-b2e9-77ed4f5615c6,false
Original Love,1991-07-12,LOVE! LOVE! & LOVE!,da1b555e-946c-4e5f-bfe3-dedd6102cdd2,false
Oscillation,2007-10-15,Out of Phase,24c79bdc-da07-4626-b449-0e0aa3ce395f,false
Osmani Garcia,2011-08-10,Chupi Chupi,a530c5fc-4856-405a-a991-55f80409e587,false
PENICILLIN,1995-01-01,God of grind －Real Penicillin Shock－,6c7bf38c-dff0-4b78-a64b-9b7fa07e3b01,false
PERSONZ,1989-05-25,7COLORS (Over The Rainbow),4375b404-2259-4bee-9c54-022f0e2da6c4,false
PETZ,2013-11-19,Jyunin‐Toiro,9428ebe7-5f47-4ff4-b50e-d0285f962b65,false
PINK SAPPHIRE,1990-07-25,P.S. I LOVE YOU,0bc192ef-8be5-4124-b081-3401b7fcf1a7,false
PLAY N SKILLZ,2011-02-01,Things We Do,4f23a011-5a20-417f-bc20-6497677ca244,false
PUFFY,1996-05-13,アジアの純真,ed8e205b-2b03-48f8-b068-37b7a553fdad,false
PUSHIM,1999-06-19,Brand New Day,c12e6c91-cc73-45e8-acc8-beefbf335806,false
Phonique,2003-03-24,Beat'n Greet,4b789d86-691f-4878-aea5-9f597c23c9bb,false
ROMANS,2003-08-20,SEXY NIGHT～忘れられない彼～,098e05d0-925b-4056-8a98-e4b539ed1723,false
"SOIL&""PIMP""SESSIONS with 布袋寅泰",2004-12-01,Suffocation,b8e2848f-f5e1-448d-94cf-990c2983c05c,false
YENA,2022-01-17,ˣ‿ˣ (SMiLEY),745c5b92-325f-451d-bd52-e6b95229c776,false
YOASOBI,2019-12-14,夜に駆ける,df6c619f-4334-43e2-8b6a-4a32af1e4f85,false
YONA YONA WEEKENDERS,2019-11-20,夜とアルバム,0906096b-0bb9-4a1f-ad52-2bdf7acb80ce,false
YOSHIKI,1993-11-03,Amethyst,c64da7fc-a073-49fc-a26e-494217afbc6a,false
ano,2020-09-04,デリート,ebb4513e-4aab-4ac9-a949-14e77bb7b836,false
asa,2006-12-05,Fast Abstract Beat,9751008d-27d7-436a-9f3a-734353ee046e,false
back number,2009-02-18,逃した魚,f35bfbe2-d30e-402c-9ac1-fa5f90b72ec2,false
biz,2019-11-17,逃避,a4892932-a55f-4c60-ade0-9337b6098f58,false
class,1993-04-21,夏の日の1993,383cfd3a-4b0c-49dd-8ce8-8c3d863cc079,false
dos,1996-03-21,baby baby baby,2656fab7-3add-44dd-b279-c53628933044,false
e-girls,2011-12-28,Celebration!,65784683-d180-44da-b385-050acf8ec4bb,false
erica,2016-08-31,君がいた,87a2af56-9ca4-401b-804f-27ac4dc0f2f5,false
flumpool,2008-11-19,Unreal,44624735-6317-4b56-b1c6-283b8854cb71,false
hide,1993-08-05,50% & 50%,b4065fe7-a1b0-46d9-ae7f-ae0f80c7975a,false
hitomi,1994-11-27,Let's Play Winter,971280a6-c66d-40bc-9f77-c2fe726a41d7,false
imase,2021-12-19,Have a nice day,bc83173f-c86f-4343-b3e7-aad839a47a54,false
jon-YAKITORY,2020-03-02,アロネ,af1b35f6-7cfa-4f2f-a57b-364b7406de89,false
kedy,2025-06-20,OG,7a7ed4d4-4bb7-44cd-8ccd-49faaa8f0804,false
m-flo,2000-02-23,Planet Shining,22dd2db3-88ea-4428-a7a8-5cd3acf23175,false
mabanua,2020-04-12,Infectious Love,972b5e82-9062-4053-8688-28007d856db2,false
miComet,2023-11-03,シュガーラッシュ,e4d6939d-0a20-4308-ad82-81dc25d40524,false
mihimaru GT,2003-07-30,約束,6011bcce-9f6b-4aae-adae-68727eaef7e0,false
milet,2019-03-06,inside you EP,906c39c0-e839-43db-a644-ea1a0101e8f8,false
misono,2003-05-28,11 eleven,f612f985-3585-49a9-a771-13d4f5fa3a4b,false
miyushiiiii,2022-09-19,ミユシィズム,83bb169f-936f-4831-b215-7454f8a05be8,false
nobodyknows+,2003-02-19,nobody knows 3,7d120305-ad04-41e9-b482-dc669d89cf0a,false
po9t,2023-05-19,Fix Myself,852a3cb4-1420-4a26-b39f-4cd66a95102e,false
ravex,2008-12-17,I Rave U,38c7405e-387f-490e-b9d0-96540c4a3855,false
s**t kingz,2025-03-03,See SOUNDTRACK,bc1215fd-c189-4dde-9dee-a2042cf78c6f,false
sads,1999-07-07,TOKYO,37e9d194-6110-4e03-9042-79e718954e5f,false
shela,2002-09-19,Himawari,7e481542-5fce-4f31-a25d-26fb4ab40f8a,false
shota,2024-05-28,Melting,4777e0f7-0fce-4991-87cb-ba26a7c88ce6,false
t-Ace,2010-06-09,雨,ee3faad8-a97d-499a-946a-537174eae174,false
the brilliant green,1997-09-21,Bye Bye Mr.Mug,768ecb0b-bcc8-4c99-9f2d-54a13f33c5f6,false
timelesz,2011-11-16,Sexy Zone,057927dd-b6bf-4c58-ae51-cceaf1ee58ac,false
